# Time(ns)	Amplitude
0.00 -0.03
1.01 0.47
2.02 0.21
3.03 -0.29
4.03 0.51
5.04 0.27
6.05 -0.02
7.06 0.65
8.07 0.43
9.08 2.66
10.08 2.82
11.09 3.58
12.10 3.62
13.11 7.46
14.12 10.55
15.13 11.62
16.13 10.85
17.14 11.19
18.15 9.93
19.16 8.85
20.17 7.77
21.18 5.94
22.18 4.58
23.19 4.31
24.20 3.35
25.21 3.51
26.22 3.42
27.23 3.44
28.24 2.91
29.24 2.45
30.25 2.63
31.26 1.84
32.27 2.12
33.28 1.70
34.29 1.62
35.29 1.61
36.30 1.57
37.31 0.79
38.32 0.88
39.33 0.62
40.34 0.48
41.34 0.17
42.35 0.19
43.36 0.46
44.37 0.53
45.38 1.08
46.39 -0.11
47.39 0.00
48.40 0.14
49.41 -0.05
50.42 0.06
51.43 0.36
52.44 0.48
53.45 -1.00
54.45 0.16
55.46 0.19
56.47 0.33
57.48 5.15
58.49 7.02
59.50 7.82
60.50 8.66
61.51 7.66
62.52 8.45
63.53 12.22
64.54 13.57
65.55 13.99
66.55 13.21
67.56 12.07
68.57 11.50
69.58 8.34
70.59 7.70
71.60 6.63
72.61 6.08
73.61 5.85
74.62 5.54
75.63 4.49
76.64 3.86
77.65 3.27
78.66 3.35
79.66 2.88
80.67 2.94
81.68 2.21
82.69 1.45
83.70 1.80
84.71 1.38
85.71 1.08
86.72 0.77
87.73 0.43
88.74 0.63
89.75 0.00
90.76 0.07
91.76 0.40
92.77 -0.02
93.78 0.03
94.79 -0.15
95.80 0.20
96.81 -0.16
97.82 4.75
98.82 9.00
99.83 10.38
100.84 10.39
101.85 10.33
102.86 9.70
103.87 8.82
104.87 7.88
105.88 6.88
106.89 6.55
107.90 5.75
108.91 5.18
109.92 3.52
110.92 2.90
111.93 2.29
112.94 1.47
113.95 1.38
114.96 0.75
115.97 0.85
116.97 0.33
117.98 -0.10
118.99 0.06
120.00 -0.51
