# Time(ns)	Amplitude
0.00 200.38
1.01 199.91
2.02 199.75
3.03 199.93
4.03 200.54
5.04 200.24
6.05 199.93
7.06 199.62
8.07 200.15
9.08 199.79
10.08 199.71
11.09 199.99
12.10 199.66
13.11 200.28
14.12 199.98
15.13 199.71
16.13 200.11
17.14 199.58
18.15 199.38
19.16 200.23
20.17 200.39
21.18 200.15
22.18 199.79
23.19 199.77
24.20 199.99
25.21 199.53
26.22 200.17
27.23 199.46
28.24 199.63
29.24 199.95
30.25 200.38
31.26 200.01
32.27 200.24
33.28 199.99
34.29 199.78
35.29 200.24
36.30 200.40
37.31 200.19
38.32 199.60
39.33 201.61
40.34 203.33
41.34 203.93
42.35 203.62
43.36 203.03
44.37 203.05
45.38 202.51
46.39 202.99
47.39 202.43
48.40 202.28
49.41 202.35
50.42 201.94
51.43 201.66
52.44 201.44
53.45 200.77
54.45 201.13
55.46 201.11
56.47 201.26
57.48 200.96
58.49 200.71
59.50 200.75
60.50 200.89
61.51 200.58
62.52 200.15
63.53 200.52
64.54 200.77
65.55 200.54
66.55 200.28
67.56 199.83
68.57 200.60
69.58 200.04
70.59 200.24
71.60 200.10
72.61 199.93
73.61 200.52
74.62 200.12
75.63 200.16
76.64 200.44
77.65 200.28
78.66 200.55
79.66 199.97
80.67 199.82
81.68 199.96
82.69 199.65
83.70 199.62
84.71 205.91
85.71 213.95
86.72 217.91
87.73 218.87
88.74 218.73
89.75 217.41
90.76 216.14
91.76 215.14
92.77 213.79
93.78 218.48
94.79 219.95
95.80 220.23
96.81 219.04
97.82 217.97
98.82 216.68
99.83 215.63
100.84 213.78
101.85 217.28
102.86 219.79
103.87 219.98
104.87 219.73
105.88 219.32
106.89 217.47
107.90 216.08
108.91 214.41
109.92 212.34
110.92 211.30
111.93 210.83
112.94 209.74
113.95 209.25
114.96 208.12
115.97 206.56
116.97 206.36
117.98 206.04
118.99 205.52
120.00 204.12
